"desc" "token" "terminal"
"1" "$end" 0 TRUE
"2" "'\n'" 10 TRUE
"3" "'!'" 33 TRUE
"4" "'$'" 36 TRUE
"5" "'%'" 37 TRUE
"6" "'('" 40 TRUE
"7" "')'" 41 TRUE
"8" "'*'" 42 TRUE
"9" "'+'" 43 TRUE
"10" "','" 44 TRUE
"11" "'-'" 45 TRUE
"12" "'/'" 47 TRUE
"13" "':'" 58 TRUE
"14" "';'" 59 TRUE
"15" "'?'" 63 TRUE
"16" "'@'" 64 TRUE
"17" "'['" 91 TRUE
"18" "']'" 93 TRUE
"19" "'^'" 94 TRUE
"20" "'{'" 123 TRUE
"21" "'}'" 125 TRUE
"22" "'~'" 126 TRUE
"23" "error" 256 TRUE
"24" "END_OF_INPUT" 258 TRUE
"25" "ERROR" 259 TRUE
"26" "STR_CONST" 260 TRUE
"27" "NUM_CONST" 261 TRUE
"28" "NULL_CONST" 262 TRUE
"29" "SYMBOL" 263 TRUE
"30" "FUNCTION" 264 TRUE
"31" "LEFT_ASSIGN" 265 TRUE
"32" "EQ_ASSIGN" 266 TRUE
"33" "RIGHT_ASSIGN" 267 TRUE
"34" "LBB" 268 TRUE
"35" "FOR" 269 TRUE
"36" "IN" 270 TRUE
"37" "IF" 271 TRUE
"38" "ELSE" 272 TRUE
"39" "WHILE" 273 TRUE
"40" "NEXT" 274 TRUE
"41" "BREAK" 275 TRUE
"42" "REPEAT" 276 TRUE
"43" "GT" 277 TRUE
"44" "GE" 278 TRUE
"45" "LT" 279 TRUE
"46" "LE" 280 TRUE
"47" "EQ" 281 TRUE
"48" "NE" 282 TRUE
"49" "AND" 283 TRUE
"50" "OR" 284 TRUE
"51" "AND2" 285 TRUE
"52" "OR2" 286 TRUE
"53" "NS_GET" 287 TRUE
"54" "NS_GET_INT" 288 TRUE
"55" "COMMENT" 289 TRUE
"56" "SPACES" 290 TRUE
"57" "ROXYGEN_COMMENT" 291 TRUE
"58" "SYMBOL_FORMALS" 292 TRUE
"59" "EQ_FORMALS" 293 TRUE
"60" "EQ_SUB" 294 TRUE
"61" "SYMBOL_SUB" 295 TRUE
"62" "SYMBOL_FUNCTION_CALL" 296 TRUE
"63" "SYMBOL_PACKAGE" 297 TRUE
"64" "COLON_ASSIGN" 298 TRUE
"65" "SLOT" 299 TRUE
"66" "LOW" 300 TRUE
"67" "TILDE" 301 TRUE
"68" "NOT" 302 TRUE
"69" "UNOT" 303 TRUE
"70" "SPECIAL" 304 TRUE
"71" "UPLUS" 305 TRUE
"72" "UMINUS" 306 TRUE
"73" "$accept" 73 FALSE
"74" "prog" 74 FALSE
"75" "expr_or_assign" 75 FALSE
"76" "equal_assign" 76 FALSE
"77" "expr" 77 FALSE
"78" "cond" 78 FALSE
"79" "ifcond" 79 FALSE
"80" "forcond" 80 FALSE
"81" "exprlist" 81 FALSE
"82" "sublist" 82 FALSE
"83" "sub" 83 FALSE
"84" "formlist" 84 FALSE
"85" "cr" 85 FALSE
